Description                    Slug

Amsterdam 2                    ams2        
Amsterdam 3                    ams3        
Bangalore 1                    blr1        
Frankfurt 1                    fra1        
London 1                       lon1        
New York 1                     nyc1        
New York 2                     nyc2        
New York 3                     nyc3        
San Francisco 1                sfo1        
San Francisco 2                sfo2        
Singapore 1                    sgp1        
Toronto 1                      tor1        
